symbol,cname,series,list_date,paid_up_value,market_lot,isin,face_value,calculated
BILENERGY,Bil Energy Systems Limited,EQ,15-FEB-2011,1,1,INE607L01029,1,BILENERGY.NS
BINDALAGRO,Oswal Chemicals & Fertilizers Limited,EQ,28-AUG-1996,10,1,INE143A01010,10,BINDALAGRO.NS
BIOCON,Biocon Limited,EQ,07-APR-2004,5,1,INE376G01013,5,BIOCON.NS
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ,12-JUN-1996,10,1,INE829A01014,10,BIOFILCHEM.NS
BIRLACABLE,Birla Cable Limited,EQ,06-DEC-1995,10,1,INE800A01015,10,BIRLACABLE.NS
BIRLACORPN,Birla Corporation Limited,EQ,12-APR-1995,10,1,INE340A01012,10,BIRLACORPN.NS
BIRLAMONEY,Aditya Birla Money Limited,EQ,07-FEB-2008,1,1,INE865C01022,1,BIRLAMONEY.NS
BIRLATYRE,Birla Tyres Limited,EQ,10-FEB-2020,10,1,INE0AEJ01013,10,BIRLATYRE.NS
BKMINDST,Bkm Industries Limited,BE,30-MAR-2015,1,1,INE831Q01016,1,BKMINDST.NS
BLBLIMITED,BLB Limited,EQ,31-MAY-2000,1,1,INE791A01024,1,BLBLIMITED.NS
BLISSGVS,Bliss GVS Pharma Limited,EQ,26-JUL-2010,1,1,INE416D01022,1,BLISSGVS.NS
BLKASHYAP,B. L. Kashyap and Sons Limited,BE,17-MAR-2006,1,1,INE350H01032,1,BLKASHYAP.NS
BLS,BLS International Services Limited,EQ,14-JUN-2016,1,1,INE153T01027,1,BLS.NS
BLUECOAST,Blue Coast Hotels Limited,BE,16-FEB-2000,10,1,INE472B01011,10,BLUECOAST.NS
BLUEDART,Blue Dart Express Limited,EQ,12-DEC-2002,10,1,INE233B01017,10,BLUEDART.NS
BLUESTARCO,Blue Star Limited,EQ,15-JUN-2000,2,1,INE472A01039,2,BLUESTARCO.NS
BODALCHEM,Bodal Chemicals Limited,EQ,22-AUG-2011,2,1,INE338D01028,2,BODALCHEM.NS
BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,26-APR-1995,2,1,INE032A01023,2,BOMDYEING.NS
BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,25-MAY-2018,1,1,INE666D01022,1,BORORENEW.NS
BOSCHLTD,Bosch Limited,EQ,12-MAY-2003,10,1,INE323A01026,10,BOSCHLTD.NS
BPCL,Bharat Petroleum Corporation Limited,EQ,13-SEP-1995,10,1,INE029A01011,10,BPCL.NS
BPL,BPL Limited,BE,14-JUN-1995,10,1,INE110A01019,10,BPL.NS
BRFL,Bombay Rayon Fashions Limited,BE,05-DEC-2005,10,1,INE589G01011,10,BRFL.NS
BRIGADE,Brigade Enterprises Limited,EQ,31-DEC-2007,10,1,INE791I01019,10,BRIGADE.NS
BRITANNIA,Britannia Industries Limited,EQ,05-NOV-1998,1,1,INE216A01030,1,BRITANNIA.NS
BRNL,Bharat Road Network Limited,EQ,18-SEP-2017,10,1,INE727S01012,10,BRNL.NS
BROOKS,Brooks Laboratories Limited,BE,05-SEP-2011,10,1,INE650L01011,10,BROOKS.NS
BSE,BSE Limited,EQ,03-FEB-2017,2,1,INE118H01025,2,BSE.NS
BSELINFRA,BSEL Infrastructure Realty Limited,EQ,07-FEB-2001,10,1,INE395A01016,10,BSELINFRA.NS
BSL,BSL Limited,EQ,27-JUL-1995,10,1,INE594B01012,10,BSL.NS
BSOFT,BIRLASOFT LIMITED,EQ,24-NOV-1999,2,1,INE836A01035,2,BSOFT.NS
BURNPUR,Burnpur Cement Limited,EQ,03-JAN-2008,10,1,INE817H01014,10,BURNPUR.NS
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ,28-APR-2014,10,1,INE295F01017,10,BUTTERFLY.NS
BVCL,Barak Valley Cements Limited,BE,23-NOV-2007,10,1,INE139I01011,10,BVCL.NS
BYKE,The Byke Hospitality Ltd,EQ,15-APR-2015,10,1,INE319B01014,10,BYKE.NS
CADILAHC,Cadila Healthcare Limited,EQ,18-APR-2000,1,1,INE010B01027,1,CADILAHC.NS
CALSOFT,California Software Company Limited,BE,28-JUN-2000,10,1,INE526B01014,10,CALSOFT.NS
CAMLINFINE,Camlin Fine Sciences Limited,EQ,20-JAN-2015,1,1,INE052I01032,1,CAMLINFINE.NS
CANBK,Canara Bank,EQ,23-DEC-2002,10,1,INE476A01014,10,CANBK.NS
